Date,Actual,ARIMA_Forecast,SARIMA_Forecast
2019-11-15,265.76001,,
2019-11-18,267.100006,,
2019-11-19,266.290009,,
2019-11-20,263.190002,,
2019-11-21,262.01001,,
2019-11-22,261.779999,,
2019-11-25,266.369995,,
2019-11-26,264.290009,,
2019-11-27,267.839996,,
2019-11-29,267.25,,
2019-12-02,264.160004,,
2019-12-03,259.450012,,
2019-12-04,261.73999,,
2019-12-05,265.579987,,
2019-12-06,270.709991,,
2019-12-09,266.920013,,
2019-12-10,268.480011,,
2019-12-11,270.769989,,
2019-12-12,271.459991,,
2019-12-13,275.149994,,
2019-12-16,279.859985,,
2019-12-17,280.410004,,
2019-12-18,279.73999,,
2019-12-19,280.019989,,
2019-12-20,279.440002,,
2019-12-23,284.0,,
2019-12-24,284.269989,,
2019-12-26,289.910004,,
2019-12-27,289.799988,,
2019-12-30,291.519989,,
